GlucoseInternalTime,GlucoseValue
1447285341.0,7.99
1447285641.0,8.44
1447285941.0,8.93
1447286240.0,8.93
1447286541.0,9.21
1447286840.0,9.82
1447287140.0,10.10
1447287440.0,10.27
1447287740.0,10.21
1447288041.0,10.21
1447288340.0,10.32
1447288641.0,10.27
1447288940.0,10.38
1447289240.0,10.38
1447289541.0,10.49
1447289840.0,10.65
1447290142.0,10.60
1447290740.0,10.21
1447291041.0,10.32
1447291340.0,10.32
1447291640.0,10.32
1447291940.0,10.27
1447292240.0,10.10
1447292540.0,9.93
1447292841.0,9.82
1447293140.0,9.77
1447293440.0,9.71
1447293741.0,9.66
1447294040.0,9.60
1447294341.0,9.66
1447294640.0,9.60
1447294940.0,9.77
1447295240.0,9.77
1447295540.0,9.32
1447295840.0,9.16
1447296140.0,9.05
1447296440.0,9.27
1447296741.0,9.49
1447297041.0,9.54
1447297340.0,9.32
1447297640.0,9.16
1447297940.0,8.88
1447298240.0,8.60
1447298540.0,8.10
1447298840.0,7.55
1447299140.0,7.05
1447299440.0,6.44
1447299740.0,5.88
1447300040.0,5.66
1447300340.0,5.11
1447300640.0,4.33
1447300940.0,3.66
1447301240.0,3.16
1447301540.0,2.66
1447301840.0,3.22
1447302140.0,3.11
1447302440.0,2.89
1447302740.0,2.55
1447303040.0,2.28
1447303340.0,2.28
1447303640.0,2.50
1447303940.0,2.89
1447304240.0,3.16
1447304540.0,3.61
1447304840.0,3.72
1447305140.0,3.94
1447305440.0,4.05
1447305740.0,4.05
1447306040.0,4.00
1447306340.0,4.05
1447306640.0,4.16
1447306940.0,4.27
1447307240.0,4.33
1447307540.0,4.33
1447307840.0,4.44
1447308140.0,4.72
1447308440.0,4.99
1447308740.0,5.05
1447309040.0,4.94
1447309340.0,4.94
1447309640.0,4.22
1447309940.0,4.11
1447310240.0,4.50
1447310540.0,4.72
1447310840.0,5.27
1447311140.0,5.72
1447311440.0,5.72
1447311740.0,5.49
1447312041.0,5.27
1447312640.0,4.83
1447312940.0,4.33
1447313240.0,3.77
1447313540.0,3.44
1447313840.0,3.33
1447314140.0,3.27
1447314440.0,3.33
1447314740.0,3.44
1447315040.0,4.05
1447315340.0,4.22
1447315640.0,4.44
1447315940.0,4.66
1447316240.0,4.99
1447316540.0,5.77
1447316840.0,6.05
1447317140.0,6.27
1447317440.0,6.44
1447317740.0,6.66
1447318040.0,6.94
1447318340.0,6.88
1447318640.0,6.83
1447318940.0,6.94
1447319240.0,7.10
1447319540.0,7.21
1447319840.0,7.16
1447320140.0,7.27
1447320440.0,7.71
1447320740.0,8.32
1447321040.0,8.66
1447321340.0,8.93
1447321640.0,9.10
1447321940.0,9.21
1447322240.0,9.32
1447322540.0,9.43
1447322840.0,9.60
1447323140.0,9.82
1447323440.0,9.93
1447323740.0,9.82
1447324040.0,9.27
1447324340.0,8.71
1447324640.0,8.66
1447324940.0,8.55
1447325239.0,7.94
1447325539.0,7.99
1447325839.0,8.32
1447326139.0,8.93
1447326439.0,9.88
1447326739.0,10.77
1447327039.0,11.21
1447327339.0,11.21
1447327640.0,11.15
1447327939.0,11.10
1447328239.0,11.04
1447328540.0,10.99
1447328839.0,10.99
1447329139.0,10.99
1447329439.0,10.82
1447329739.0,10.21
1447330039.0,10.04
1447330339.0,10.04
1447330639.0,10.10
1447330939.0,10.10
1447331239.0,10.16
1447331539.0,10.16
1447331839.0,10.10
1447332139.0,10.10
1447332439.0,10.60
1447332739.0,10.71
1447333039.0,10.60
1447333339.0,10.54
1447333639.0,10.60
1447333939.0,10.60
1447334239.0,10.54
1447334539.0,10.60
1447334839.0,10.60
1447335139.0,10.60
1447335439.0,10.32
1447335739.0,9.77
1447336039.0,9.32
1447336339.0,8.93
1447336639.0,8.77
1447336939.0,8.93
1447337239.0,9.10
1447337539.0,9.71
1447337839.0,10.43
1447338139.0,10.88
1447338439.0,10.99
1447338739.0,10.88
1447339039.0,10.65
1447339339.0,10.49
1447339639.0,10.38
1447339939.0,10.54
1447340239.0,10.93
1447340539.0,10.93
1447340839.0,10.88
1447341139.0,10.93
1447341439.0,10.93
1447341739.0,10.93
1447342039.0,10.82
1447342339.0,10.77
1447342639.0,10.77
1447342939.0,10.82
1447343239.0,10.88
1447343539.0,10.82
1447343839.0,10.82
1447344139.0,10.77
1447344439.0,10.65
1447344739.0,10.54
1447345039.0,10.16
1447345339.0,9.99
1447345639.0,10.16
1447345939.0,9.88
1447346239.0,9.88
