Start,Finish,Heart Rate (count/min)
1447063260.0,1447063260.0,108.0
1447063260.0,1447063260.0,108.0
1447063260.0,1447063260.0,108.0
1447063260.0,1447063260.0,108.0
1447063260.0,1447063260.0,108.0
1447063320.0,1447063320.0,108.0
1447063320.0,1447063320.0,108.0
1447063320.0,1447063320.0,107.0
1447063320.0,1447063320.0,108.0
1447063320.0,1447063320.0,108.0
1447063320.0,1447063320.0,108.0
1447063320.0,1447063320.0,110.0
1447063320.0,1447063320.0,112.0
1447063320.0,1447063320.0,112.0
1447063320.0,1447063320.0,112.0
1447063320.0,1447063320.0,112.0
1447063320.0,1447063320.0,112.0
1447063380.0,1447063380.0,113.0
1447063380.0,1447063380.0,113.0
1447063380.0,1447063380.0,113.0
1447063380.0,1447063380.0,113.0
1447063380.0,1447063380.0,113.0
1447063380.0,1447063380.0,112.0
1447063380.0,1447063380.0,111.0
1447063380.0,1447063380.0,112.0
1447063380.0,1447063380.0,111.0
1447063380.0,1447063380.0,112.0
1447063380.0,1447063380.0,112.0
1447063380.0,1447063380.0,112.0
1447063440.0,1447063440.0,112.0
1447063440.0,1447063440.0,112.0
1447063440.0,1447063440.0,112.0
1447063440.0,1447063440.0,111.0
1447063440.0,1447063440.0,111.0
1447063440.0,1447063440.0,111.0
1447063440.0,1447063440.0,111.0
1447063440.0,1447063440.0,109.0
1447063440.0,1447063440.0,106.0
1447063440.0,1447063440.0,105.0
1447063440.0,1447063440.0,104.0
1447063440.0,1447063440.0,104.0
1447063500.0,1447063500.0,105.0
1447063500.0,1447063500.0,107.0
1447063500.0,1447063500.0,108.0
1447063500.0,1447063500.0,109.0
1447063500.0,1447063500.0,110.0
1447063500.0,1447063500.0,111.0
1447063500.0,1447063500.0,111.0
1447063500.0,1447063500.0,110.0
1447063500.0,1447063500.0,110.0
1447063500.0,1447063500.0,109.0
1447063500.0,1447063500.0,109.0
1447063500.0,1447063500.0,118.0
1447063560.0,1447063560.0,118.0
1447063560.0,1447063560.0,116.0
1447063560.0,1447063560.0,115.0
1447063560.0,1447063560.0,114.0
1447063560.0,1447063560.0,113.0
1447063560.0,1447063560.0,113.0
1447063560.0,1447063560.0,113.0
1447063560.0,1447063560.0,112.0
1447063560.0,1447063560.0,108.0
1447063560.0,1447063560.0,107.0
1447063560.0,1447063560.0,108.0
1447063560.0,1447063560.0,108.0
1447063620.0,1447063620.0,108.0
1447063620.0,1447063620.0,108.0
1447063620.0,1447063620.0,108.0
1447063620.0,1447063620.0,104.0
1447063620.0,1447063620.0,104.0
1447063620.0,1447063620.0,106.0
1447063620.0,1447063620.0,106.0
1447063620.0,1447063620.0,106.0
1447063620.0,1447063620.0,107.0
1447063620.0,1447063620.0,110.0
1447063620.0,1447063620.0,110.0
1447063620.0,1447063620.0,111.0
1447063680.0,1447063680.0,110.0
1447063680.0,1447063680.0,108.0
1447063680.0,1447063680.0,108.0
1447063680.0,1447063680.0,108.0
1447063680.0,1447063680.0,109.0
1447063680.0,1447063680.0,109.0
1447063680.0,1447063680.0,109.0
1447063680.0,1447063680.0,109.0
1447063680.0,1447063680.0,109.0
1447063680.0,1447063680.0,106.0
1447063680.0,1447063680.0,104.0
1447063680.0,1447063680.0,104.0
1447063740.0,1447063740.0,104.0
1447063740.0,1447063740.0,104.0
1447063740.0,1447063740.0,104.0
1447063740.0,1447063740.0,104.0
1447063740.0,1447063740.0,104.0
1447063740.0,1447063740.0,104.0
1447063740.0,1447063740.0,104.0
1447063740.0,1447063740.0,104.0
1447063740.0,1447063740.0,104.0
1447063740.0,1447063740.0,104.0
1447063740.0,1447063740.0,104.0
1447063740.0,1447063740.0,104.0
1447063800.0,1447063800.0,104.0
1447063800.0,1447063800.0,104.0
1447063800.0,1447063800.0,104.0
1447063800.0,1447063800.0,104.0
1447063800.0,1447063800.0,104.0
1447063800.0,1447063800.0,104.0
1447063800.0,1447063800.0,104.0
1447063800.0,1447063800.0,104.0
1447063800.0,1447063800.0,104.0
1447063800.0,1447063800.0,106.0
1447063800.0,1447063800.0,107.0
1447063800.0,1447063800.0,107.0
1447063860.0,1447063860.0,107.0
1447063860.0,1447063860.0,107.0
1447063860.0,1447063860.0,107.0
1447063860.0,1447063860.0,107.0
1447063860.0,1447063860.0,107.0
1447063860.0,1447063860.0,108.0
1447063860.0,1447063860.0,108.0
1447063860.0,1447063860.0,107.0
1447063860.0,1447063860.0,107.0
1447063860.0,1447063860.0,107.0
1447063860.0,1447063860.0,107.0
1447063860.0,1447063860.0,108.0
1447063920.0,1447063920.0,113.0
1447063920.0,1447063920.0,113.0
1447063920.0,1447063920.0,112.0
1447063920.0,1447063920.0,111.0
1447063920.0,1447063920.0,111.0
1447063920.0,1447063920.0,108.0
1447063920.0,1447063920.0,108.0
1447063920.0,1447063920.0,108.0
1447063920.0,1447063920.0,108.0
1447063920.0,1447063920.0,106.0
1447063920.0,1447063920.0,104.0
1447063920.0,1447063920.0,104.0
1447063980.0,1447063980.0,105.0
1447063980.0,1447063980.0,106.0
1447063980.0,1447063980.0,112.0
1447063980.0,1447063980.0,113.0
1447063980.0,1447063980.0,113.0
1447063980.0,1447063980.0,113.0
1447063980.0,1447063980.0,111.0
